HEADER_TIME_STAMP,X_ACCELATION_METERS_PER_SECOND_SQUARED,group
2014-12-12 12:17:14,1.61,gt
2014-12-12 12:17:14,3.079,gt
2014-12-12 12:17:14,4.196,gt
2014-12-12 12:17:14,4.598,gt
2014-12-12 12:17:14,4.44,gt
2014-12-12 12:17:14,3.507,gt
2014-12-12 12:17:14,2.182,gt
2014-12-12 12:17:14,0.513,gt
2014-12-12 12:17:14,-1.358,gt
2014-12-12 12:17:14,-2.977,gt
2014-12-12 12:17:14,-4.188,gt
2014-12-12 12:17:14,-4.721,gt
2014-12-12 12:17:14,-4.507,gt
2014-12-12 12:17:14,-3.587,gt
2014-12-12 12:17:14,-2.176,gt
2014-12-12 12:17:14,-0.522,gt
2014-12-12 12:17:14,1.27,gt
2014-12-12 12:17:14,2.848,gt
2014-12-12 12:17:14,4.103,gt
2014-12-12 12:17:14,4.71,gt
2014-12-12 12:17:14,4.613,gt
2014-12-12 12:17:14,3.68,gt
2014-12-12 12:17:14,2.308,gt
2014-12-12 12:17:14,0.425,gt
2014-12-12 12:17:14,-1.299,gt
2014-12-12 12:17:14,-2.988,gt
2014-12-12 12:17:14,-4.047,gt
2014-12-12 12:17:14,-4.613,gt
2014-12-12 12:17:14,-4.343,gt
2014-12-12 12:17:14,-3.575,gt
2014-12-12 12:17:14,-2.314,gt
2014-12-12 12:17:14,-0.78,gt
2014-12-12 12:17:14,1.067,gt
2014-12-12 12:17:14,2.742,gt
2014-12-12 12:17:14,4.15,gt
2014-12-12 12:17:14,4.786,gt
2014-12-12 12:17:14,4.639,gt
2014-12-12 12:17:14,3.804,gt
2014-12-12 12:17:14,2.279,gt
2014-12-12 12:17:14,0.56,gt
2014-12-12 12:17:14,-1.226,gt
2014-12-12 12:17:14,-2.85,gt
2014-12-12 12:17:14,-3.947,gt
2014-12-12 12:17:14,-4.581,gt
2014-12-12 12:17:14,-4.592,gt
2014-12-12 12:17:14,-3.792,gt
2014-12-12 12:17:14,-2.463,gt
2014-12-12 12:17:14,-0.804,gt
2014-12-12 12:17:14,1.067,gt
2014-12-12 12:17:14,2.804,gt
2014-12-12 12:17:14,4.164,gt
2014-12-12 12:17:14,4.724,gt
2014-12-12 12:17:14,4.554,gt
2014-12-12 12:17:14,3.689,gt
2014-12-12 12:17:14,2.343,gt
2014-12-12 12:17:14,0.581,gt
2014-12-12 12:17:14,-1.026,gt
2014-12-12 12:17:14,-2.686,gt
2014-12-12 12:17:14,-3.912,gt
2014-12-12 12:17:14,-4.666,gt
2014-12-12 12:17:14,-4.613,gt
2014-12-12 12:17:14,-3.804,gt
2014-12-12 12:17:14,-2.569,gt
2014-12-12 12:17:14,-0.666,gt
2014-12-12 12:17:14,1.111,gt
2014-12-12 12:17:14,2.848,gt
2014-12-12 12:17:14,4.135,gt
2014-12-12 12:17:14,4.639,gt
2014-12-12 12:17:14,4.487,gt
2014-12-12 12:17:14,3.71,gt
2014-12-12 12:17:14,2.419,gt
2014-12-12 12:17:14,0.76,gt
2014-12-12 12:17:14,-1.006,gt
2014-12-12 12:17:14,-2.651,gt
2014-12-12 12:17:14,-3.977,gt
2014-12-12 12:17:15,-4.724,gt
2014-12-12 12:17:15,-4.777,gt
2014-12-12 12:17:15,-3.862,gt
2014-12-12 12:17:15,-2.554,gt
2014-12-12 12:17:15,-0.78,gt
2014-12-12 12:17:15,1.038,gt
2014-12-12 12:17:15,2.809,gt
2014-12-12 12:17:15,3.909,gt
2014-12-12 12:17:15,4.663,gt
2014-12-12 12:17:15,4.507,gt
2014-12-12 12:17:15,3.891,gt
2014-12-12 12:17:15,2.501,gt
2014-12-12 12:17:15,0.938,gt
2014-12-12 12:17:15,-0.903,gt
2014-12-12 12:17:15,-2.61,gt
2014-12-12 12:17:15,-3.921,gt
2014-12-12 12:17:15,-4.71,gt
2014-12-12 12:17:15,-4.692,gt
2014-12-12 12:17:15,-3.982,gt
2014-12-12 12:17:15,-2.49,gt
2014-12-12 12:17:15,-0.924,gt
2014-12-12 12:17:15,0.933,gt
2014-12-12 12:17:15,2.622,gt
2014-12-12 12:17:15,3.85,gt
2014-12-12 12:17:15,4.639,gt
2014-12-12 12:17:15,4.619,gt
2014-12-12 12:17:15,3.968,gt
2014-12-12 12:17:15,2.654,gt
2014-12-12 12:17:15,0.997,gt
2014-12-12 12:17:15,-0.921,gt
2014-12-12 12:17:15,-2.56,gt
2014-12-12 12:17:15,-3.853,gt
2014-12-12 12:17:15,-4.622,gt
2014-12-12 12:17:15,-4.698,gt
2014-12-12 12:17:15,-3.944,gt
2014-12-12 12:17:15,-2.639,gt
2014-12-12 12:17:15,-1.226,gt
2014-12-12 12:17:15,0.789,gt
2014-12-12 12:17:15,2.443,gt
2014-12-12 12:17:15,3.88,gt
2014-12-12 12:17:15,4.739,gt
2014-12-12 12:17:15,4.821,gt
2014-12-12 12:17:15,4.047,gt
2014-12-12 12:17:15,2.654,gt
2014-12-12 12:17:15,1.026,gt
2014-12-12 12:17:15,-0.865,gt
2014-12-12 12:17:15,-2.469,gt
2014-12-12 12:17:15,-3.745,gt
2014-12-12 12:17:15,-4.484,gt
2014-12-12 12:17:15,-4.575,gt
2014-12-12 12:17:15,-4.123,gt
2014-12-12 12:17:15,-2.765,gt
2014-12-12 12:17:15,-1.299,gt
2014-12-12 12:17:15,0.663,gt
2014-12-12 12:17:15,2.537,gt
2014-12-12 12:17:15,3.85,gt
2014-12-12 12:17:15,4.739,gt
2014-12-12 12:17:15,4.768,gt
2014-12-12 12:17:15,4.015,gt
2014-12-12 12:17:15,2.692,gt
2014-12-12 12:17:15,1.091,gt
2014-12-12 12:17:15,-0.742,gt
2014-12-12 12:17:15,-2.152,gt
2014-12-12 12:17:15,-3.648,gt
2014-12-12 12:17:15,-4.516,gt
2014-12-12 12:17:15,-4.774,gt
2014-12-12 12:17:15,-4.182,gt
2014-12-12 12:17:15,-2.93,gt
2014-12-12 12:17:15,-1.381,gt
2014-12-12 12:17:15,0.589,gt
2014-12-12 12:17:15,2.361,gt
2014-12-12 12:17:15,3.833,gt
2014-12-12 12:17:15,4.581,gt
2014-12-12 12:17:15,4.771,gt
2014-12-12 12:17:15,3.962,gt
2014-12-12 12:17:15,2.815,gt
2014-12-12 12:17:15,1.205,gt
2014-12-12 12:17:15,-0.428,gt
2014-12-12 12:17:15,-2.34,gt
2014-12-12 12:17:15,-3.554,gt
2014-12-12 12:17:16,-4.578,gt
2014-12-12 12:17:16,-4.701,gt
2014-12-12 12:17:16,-4.208,gt
2014-12-12 12:17:16,-2.918,gt
2014-12-12 12:17:16,-1.147,gt
2014-12-12 12:17:16,0.56,gt
2014-12-12 12:17:16,2.449,gt
2014-12-12 12:17:16,3.654,gt
2014-12-12 12:17:16,4.545,gt
2014-12-12 12:17:16,4.692,gt
2014-12-12 12:17:16,4.029,gt
2014-12-12 12:17:16,2.965,gt
2014-12-12 12:17:16,1.314,gt
2014-12-12 12:17:16,-0.428,gt
2014-12-12 12:17:16,-2.223,gt
2014-12-12 12:17:16,-3.639,gt
2014-12-12 12:17:16,-4.531,gt
2014-12-12 12:17:16,-4.721,gt
2014-12-12 12:17:16,-4.114,gt
2014-12-12 12:17:16,-2.924,gt
2014-12-12 12:17:16,-1.378,gt
2014-12-12 12:17:16,0.416,gt
2014-12-12 12:17:16,2.088,gt
2014-12-12 12:17:16,3.425,gt
2014-12-12 12:17:16,4.455,gt
2014-12-12 12:17:16,4.774,gt
2014-12-12 12:17:16,4.226,gt
2014-12-12 12:17:16,3.065,gt
2014-12-12 12:17:16,1.484,gt
2014-12-12 12:17:16,-0.346,gt
2014-12-12 12:17:16,-1.977,gt
2014-12-12 12:17:16,-3.372,gt
2014-12-12 12:17:16,-4.302,gt
2014-12-12 12:17:16,-4.625,gt
2014-12-12 12:17:16,-4.282,gt
2014-12-12 12:17:16,-3.24,gt
2014-12-12 12:17:16,-1.63,gt
2014-12-12 12:17:16,-0.015,gt
2014-12-12 12:17:16,2.026,gt
2014-12-12 12:17:16,3.422,gt
2014-12-12 12:17:16,4.413,gt
2014-12-12 12:17:16,4.695,gt
2014-12-12 12:17:16,4.249,gt
2014-12-12 12:17:16,3.205,gt
2014-12-12 12:17:16,1.733,gt
2014-12-12 12:17:16,0.147,gt
2014-12-12 12:17:16,-1.765,gt
2014-12-12 12:17:16,-3.229,gt
2014-12-12 12:17:16,-4.326,gt
2014-12-12 12:17:16,-4.698,gt
2014-12-12 12:17:16,-4.381,gt
2014-12-12 12:17:16,-3.273,gt
2014-12-12 12:17:16,-1.886,gt
2014-12-12 12:17:16,-0.167,gt
2014-12-12 12:17:16,1.575,gt
2014-12-12 12:17:16,3.109,gt
2014-12-12 12:17:16,4.176,gt
2014-12-12 12:17:16,4.757,gt
2014-12-12 12:17:16,4.34,gt
2014-12-12 12:17:16,3.522,gt
2014-12-12 12:17:16,2.032,gt
2014-12-12 12:17:16,0.384,gt
2014-12-12 12:17:16,-1.472,gt
2014-12-12 12:17:16,-2.924,gt
2014-12-12 12:17:16,-4.032,gt
2014-12-12 12:17:16,-4.563,gt
2014-12-12 12:17:16,-4.44,gt
2014-12-12 12:17:16,-3.587,gt
2014-12-12 12:17:16,-2.223,gt
2014-12-12 12:17:16,-0.534,gt
2014-12-12 12:17:16,1.346,gt
2014-12-12 12:17:16,2.988,gt
2014-12-12 12:17:16,4.182,gt
2014-12-12 12:17:16,4.663,gt
2014-12-12 12:17:16,4.469,gt
2014-12-12 12:17:16,3.469,gt
2014-12-12 12:17:16,2.194,gt
2014-12-12 12:17:16,0.537,gt
2014-12-12 12:17:16,-1.047,gt
2014-12-12 12:17:16,-2.768,gt
2014-12-12 12:17:17,-3.927,gt
2014-12-12 12:17:17,-4.642,gt
2014-12-12 12:17:17,-4.548,gt
2014-12-12 12:17:17,-3.751,gt
2014-12-12 12:17:17,-2.399,gt
2014-12-12 12:17:17,-0.71,gt
2014-12-12 12:17:17,0.991,gt
2014-12-12 12:17:17,2.628,gt
2014-12-12 12:17:17,3.897,gt
2014-12-12 12:17:17,4.563,gt
2014-12-12 12:17:17,4.569,gt
2014-12-12 12:17:17,3.774,gt
2014-12-12 12:17:17,2.598,gt
2014-12-12 12:17:17,0.695,gt
2014-12-12 12:17:17,-0.9,gt
2014-12-12 12:17:17,-2.581,gt
2014-12-12 12:17:17,-3.73,gt
2014-12-12 12:17:17,-4.434,gt
2014-12-12 12:17:17,-4.51,gt
2014-12-12 12:17:17,-3.988,gt
2014-12-12 12:17:17,-2.745,gt
2014-12-12 12:17:17,-1.185,gt
2014-12-12 12:17:17,0.839,gt
2014-12-12 12:17:17,2.487,gt
2014-12-12 12:17:17,3.783,gt
2014-12-12 12:17:17,4.525,gt
2014-12-12 12:17:17,4.525,gt
2014-12-12 12:17:17,3.971,gt
2014-12-12 12:17:17,2.651,gt
2014-12-12 12:17:17,1.411,gt
2014-12-12 12:17:17,-0.613,gt
2014-12-12 12:17:17,-2.085,gt
2014-12-12 12:17:17,-3.701,gt
2014-12-12 12:17:17,-4.537,gt
2014-12-12 12:17:17,-4.71,gt
2014-12-12 12:17:17,-4.103,gt
2014-12-12 12:17:17,-2.968,gt
2014-12-12 12:17:17,-1.469,gt
2014-12-12 12:17:17,0.223,gt
2014-12-12 12:17:17,2.094,gt
2014-12-12 12:17:17,3.54,gt
2014-12-12 12:17:17,4.525,gt
2014-12-12 12:17:17,4.842,gt
2014-12-12 12:17:17,4.194,gt
2014-12-12 12:17:17,3.109,gt
2014-12-12 12:17:17,1.358,gt
2014-12-12 12:17:17,-0.311,gt
2014-12-12 12:17:17,-2.117,gt
2014-12-12 12:17:17,-3.346,gt
2014-12-12 12:17:17,-4.282,gt
2014-12-12 12:17:17,-4.598,gt
2014-12-12 12:17:17,-4.328,gt
2014-12-12 12:17:17,-3.232,gt
2014-12-12 12:17:17,-1.78,gt
2014-12-12 12:17:17,0.158,gt
2014-12-12 12:17:17,2.117,gt
2014-12-12 12:17:17,3.455,gt
2014-12-12 12:17:17,4.457,gt
2014-12-12 12:17:17,4.639,gt
2014-12-12 12:17:17,4.22,gt
2014-12-12 12:17:17,3.082,gt
2014-12-12 12:17:17,1.839,gt
2014-12-12 12:17:17,-0.076,gt
2014-12-12 12:17:17,-1.674,gt
2014-12-12 12:17:17,-3.299,gt
2014-12-12 12:17:17,-4.355,gt
2014-12-12 12:17:17,-4.783,gt
2014-12-12 12:17:17,-4.411,gt
2014-12-12 12:17:17,-3.217,gt
2014-12-12 12:17:17,-1.812,gt
2014-12-12 12:17:17,0.026,gt
2014-12-12 12:17:17,1.724,gt
2014-12-12 12:17:17,3.109,gt
2014-12-12 12:17:17,4.238,gt
2014-12-12 12:17:17,4.633,gt
2014-12-12 12:17:17,4.44,gt
2014-12-12 12:17:17,3.466,gt
2014-12-12 12:17:17,1.818,gt
2014-12-12 12:17:17,0.144,gt
2014-12-12 12:17:17,-1.663,gt
2014-12-12 12:17:18,-3.117,gt
2014-12-12 12:17:18,-4.114,gt
2014-12-12 12:17:18,-4.569,gt
2014-12-12 12:17:18,-4.287,gt
2014-12-12 12:17:18,-3.484,gt
2014-12-12 12:17:18,-2.132,gt
2014-12-12 12:17:18,-0.375,gt
2014-12-12 12:17:18,1.352,gt
2014-12-12 12:17:18,3.155,gt
2014-12-12 12:17:18,4.194,gt
2014-12-12 12:17:18,4.724,gt
2014-12-12 12:17:18,4.358,gt
2014-12-12 12:17:18,3.575,gt
2014-12-12 12:17:18,2.205,gt
2014-12-12 12:17:18,0.557,gt
2014-12-12 12:17:18,-1.276,gt
2014-12-12 12:17:18,-2.774,gt
2014-12-12 12:17:18,-4.152,gt
2014-12-12 12:17:18,-4.777,gt
2014-12-12 12:17:18,-4.727,gt
2014-12-12 12:17:18,-3.654,gt
2014-12-12 12:17:18,-2.37,gt
2014-12-12 12:17:18,-0.534,gt
2014-12-12 12:17:18,1.402,gt
2014-12-12 12:17:18,2.924,gt
2014-12-12 12:17:18,4.103,gt
2014-12-12 12:17:18,4.613,gt
2014-12-12 12:17:18,4.425,gt
2014-12-12 12:17:18,3.677,gt
2014-12-12 12:17:18,2.372,gt
2014-12-12 12:17:18,0.698,gt
2014-12-12 12:17:18,-1.109,gt
2014-12-12 12:17:18,-2.789,gt
