HEADER_TIME_STAMP,X_ACCELATION_METERS_PER_SECOND_SQUARED,group
2014-12-12 12:17:14,-3.67150637257034,extrap
2014-12-12 12:17:14,-2.39827277823386,extrap
2014-12-12 12:17:14,-1.21853275981554,extrap
2014-12-12 12:17:14,0.365756314704838,extrap
2014-12-12 12:17:14,1.87612790536057,extrap
2014-12-12 12:17:14,2.83985457022804,extrap
2014-12-12 12:17:14,4.31797901227008,extrap
2014-12-12 12:17:14,6.02942931632286,extrap
2014-12-12 12:17:14,7.22946642208664,extrap
2014-12-12 12:17:14,7.202233720908,extrap
2014-12-12 12:17:14,5.89620817852295,extrap
2014-12-12 12:17:14,3.9242209948935,extrap
2014-12-12 12:17:14,1.92798995359535,extrap
2014-12-12 12:17:14,0.264369849902142,extrap
2014-12-12 12:17:14,-1.43145594381467,extrap
2014-12-12 12:17:14,-2.61138963897071,extrap
2014-12-12 12:17:14,-3.88198817076126,extrap
2014-12-12 12:17:14,-5.03937874008373,extrap
2014-12-12 12:17:14,-5.55874493508371,extrap
2014-12-12 12:17:14,-5.09332104120405,extrap
2014-12-12 12:17:14,-4.00854413307652,extrap
2014-12-12 12:17:14,-2.84790198263013,extrap
2014-12-12 12:17:14,-1.83371555943082,extrap
2014-12-12 12:17:14,-0.274632960050032,extrap
2014-12-12 12:17:14,1.33459809188365,extrap
2014-12-12 12:17:14,2.49293951081819,extrap
2014-12-12 12:17:14,4.09748820375547,extrap
2014-12-12 12:17:14,5.85886518081663,extrap
2014-12-12 12:17:14,7.07655439380616,extrap
2014-12-12 12:17:14,7.07817511028534,extrap
2014-12-12 12:17:14,5.83842263852445,extrap
2014-12-12 12:17:14,3.97904820497679,extrap
2014-12-12 12:17:14,2.14993432734732,extrap
2014-12-12 12:17:14,0.702365497245057,extrap
2014-12-12 12:17:14,-0.85926792201319,extrap
2014-12-12 12:17:14,-2.07214051171347,extrap
2014-12-12 12:17:14,-2.67746004410854,extrap
2014-12-12 12:17:14,-2.88661936891018,extrap
2014-12-12 12:17:14,-3.57621358884156,extrap
2014-12-12 12:17:14,-4.32822203151352,extrap
2014-12-12 12:17:14,-4.36221571824119,extrap
2014-12-12 12:17:14,-3.4924944486599,extrap
2014-12-12 12:17:14,-2.12810529595091,extrap
2014-12-12 12:17:14,-0.601488785810414,extrap
2014-12-12 12:17:14,1.04255557349548,extrap
2014-12-12 12:17:14,2.30161523210155,extrap
2014-12-12 12:17:14,2.86960167776805,extrap
2014-12-12 12:17:14,4.16624316322352,extrap
2014-12-12 12:17:14,5.75029769771638,extrap
2014-12-12 12:17:14,6.5644667028747,extrap
2014-12-12 12:17:14,5.86942294561762,extrap
2014-12-12 12:17:14,4.19797284113243,extrap
2014-12-12 12:17:14,2.40087752675062,extrap
2014-12-12 12:17:14,0.972474589068633,extrap
2014-12-12 12:17:14,-0.639129369387872,extrap
2014-12-12 12:17:14,-1.95040399595069,extrap
2014-12-12 12:17:14,-2.63146857234506,extrap
2014-12-12 12:17:14,-2.86907996967899,extrap
2014-12-12 12:17:15,-3.58029966369315,extrap
2014-12-12 12:17:15,-4.37299839925052,extrap
2014-12-12 12:17:15,-4.48442756175734,extrap
2014-12-12 12:17:15,-3.7324587931408,extrap
2014-12-12 12:17:15,-2.51556593593999,extrap
2014-12-12 12:17:15,-1.12864118846483,extrap
2014-12-12 12:17:15,0.468912911147253,extrap
2014-12-12 12:17:15,1.80455370696097,extrap
2014-12-12 12:17:15,2.53063734896714,extrap
2014-12-12 12:17:15,2.80991502911234,extrap
2014-12-12 12:17:15,3.97481176446762,extrap
2014-12-12 12:17:15,5.29697815924365,extrap
2014-12-12 12:17:15,5.46892102840671,extrap
2014-12-12 12:17:15,4.30233130860929,extrap
2014-12-12 12:17:15,2.72804925422566,extrap
2014-12-12 12:17:15,1.36465656511946,extrap
2014-12-12 12:17:15,-0.25766874425002,extrap
2014-12-12 12:17:15,-1.65641473373622,extrap
2014-12-12 12:17:15,-2.45208453571604,extrap
2014-12-12 12:17:15,-2.77678572935486,extrap
2014-12-12 12:17:15,-3.57746514076783,extrap
2014-12-12 12:17:15,-4.4597362352937,extrap
2014-12-12 12:17:15,-4.64490449507395,extrap
2014-12-12 12:17:15,-3.9517043253665,extrap
2014-12-12 12:17:15,-2.79631763374212,extrap
2014-12-12 12:17:15,-1.46784746995909,extrap
2014-12-12 12:17:15,0.150807732302372,extrap
2014-12-12 12:17:15,1.58077174273866,extrap
2014-12-12 12:17:15,2.42443049733204,extrap
2014-12-12 12:17:15,2.777464436334,extrap
2014-12-12 12:17:15,3.97368397654662,extrap
2014-12-12 12:17:15,5.30278232323549,extrap
2014-12-12 12:17:15,5.47536519661421,extrap
2014-12-12 12:17:15,4.33860278705023,extrap
2014-12-12 12:17:15,2.87626510061589,extrap
2014-12-12 12:17:15,1.71667945614859,extrap
2014-12-12 12:17:15,0.246811463852211,extrap
2014-12-12 12:17:15,-1.12597348789231,extrap
2014-12-12 12:17:15,-2.04658551512624,extrap
2014-12-12 12:17:15,-2.54971484779377,extrap
2014-12-12 12:17:15,-2.84610415219919,extrap
2014-12-12 12:17:15,-3.57730214867803,extrap
2014-12-12 12:17:15,-4.28334755045198,extrap
2014-12-12 12:17:15,-4.20696519904815,extrap
2014-12-12 12:17:15,-3.20599524071606,extrap
2014-12-12 12:17:15,-1.7534237574391,extrap
2014-12-12 12:17:15,-0.253262032006631,extrap
2014-12-12 12:17:15,1.15563944073904,extrap
2014-12-12 12:17:15,2.09763272908355,extrap
2014-12-12 12:17:15,2.58728161811842,extrap
2014-12-12 12:17:15,2.8501904581573,extrap
2014-12-12 12:17:15,3.68511330240884,extrap
2014-12-12 12:17:15,4.53965185743601,extrap
2014-12-12 12:17:15,4.49338795637073,extrap
2014-12-12 12:17:15,3.39731589863891,extrap
2014-12-12 12:17:15,1.87386643979947,extrap
2014-12-12 12:17:15,0.411620179104307,extrap
2014-12-12 12:17:15,-0.99752261423628,extrap
2014-12-12 12:17:15,-1.97791239714727,extrap
2014-12-12 12:17:15,-2.51218768566972,extrap
2014-12-12 12:17:15,-2.81403756248402,extrap
2014-12-12 12:17:15,-3.57527036392926,extrap
2014-12-12 12:17:15,-4.33250666190839,extrap
2014-12-12 12:17:15,-4.30743848929869,extrap
2014-12-12 12:17:15,-3.34347667333749,extrap
2014-12-12 12:17:15,-1.90577017019931,extrap
2014-12-12 12:17:15,-0.387615211988138,extrap
2014-12-12 12:17:15,1.08434546226563,extrap
2014-12-12 12:17:15,2.09956718373097,extrap
2014-12-12 12:17:15,2.61143601195527,extrap
2014-12-12 12:17:15,2.85232188486595,extrap
2014-12-12 12:17:15,3.71845748472417,extrap
2014-12-12 12:17:15,4.63890884777308,extrap
2014-12-12 12:17:15,4.64088405043774,extrap
2014-12-12 12:17:15,3.57774327763963,extrap
2014-12-12 12:17:15,2.12897313143101,extrap
2014-12-12 12:17:15,0.795878650965736,extrap
2014-12-12 12:17:15,-0.569055178596528,extrap
2014-12-12 12:17:15,-1.62176955353805,extrap
2014-12-12 12:17:15,-2.28168956399734,extrap
2014-12-12 12:17:15,-2.70783557407396,extrap
2014-12-12 12:17:15,-3.58370427409695,extrap
2014-12-12 12:17:15,-4.43089037970279,extrap
2014-12-12 12:17:15,-4.45245622915262,extrap
2014-12-12 12:17:15,-3.49774600023923,extrap
2014-12-12 12:17:15,-2.06236561245903,extrap
2014-12-12 12:17:15,-0.550925241814992,extrap
2014-12-12 12:17:15,0.960707052797171,extrap
2014-12-12 12:17:15,2.04679931591844,extrap
2014-12-12 12:17:15,2.59708867068317,extrap
2014-12-12 12:17:15,2.84139213372342,extrap
2014-12-12 12:17:15,3.75881768768252,extrap
2014-12-12 12:17:15,4.75262413676087,extrap
2014-12-12 12:17:15,4.79268380392266,extrap
2014-12-12 12:17:15,3.72820767205345,extrap
2014-12-12 12:17:15,2.28778520173118,extrap
2014-12-12 12:17:15,0.992544315623159,extrap
2014-12-12 12:17:15,-0.384495480863976,extrap
2014-12-12 12:17:15,-1.49443749372243,extrap
2014-12-12 12:17:15,-2.20458778756783,extrap
2014-12-12 12:17:16,-2.65870801968403,extrap
2014-12-12 12:17:16,-3.55538777653051,extrap
2014-12-12 12:17:16,-4.43045155460645,extrap
2014-12-12 12:17:16,-4.49916294831148,extrap
2014-12-12 12:17:16,-3.61345871498475,extrap
2014-12-12 12:17:16,-2.26196857454183,extrap
2014-12-12 12:17:16,-0.828966205083544,extrap
2014-12-12 12:17:16,0.671873008603256,extrap
2014-12-12 12:17:16,1.83143399488428,extrap
2014-12-12 12:17:16,2.47667530262911,extrap
2014-12-12 12:17:16,2.79325563576647,extrap
2014-12-12 12:17:16,3.77265535884292,extrap
2014-12-12 12:17:16,4.81469344954365,extrap
2014-12-12 12:17:16,4.87969675654111,extrap
2014-12-12 12:17:16,3.8442293654893,extrap
2014-12-12 12:17:16,2.50112109270879,extrap
2014-12-12 12:17:16,1.38761110168897,extrap
2014-12-12 12:17:16,0.123470231923476,extrap
2014-12-12 12:17:16,-1.0133935416663,extrap
2014-12-12 12:17:16,-1.86463723484675,extrap
2014-12-12 12:17:16,-2.48847159238064,extrap
2014-12-12 12:17:16,-3.48758843446689,extrap
2014-12-12 12:17:16,-4.41183934974211,extrap
2014-12-12 12:17:16,-4.5196905153577,extrap
2014-12-12 12:17:16,-3.70170712467922,extrap
2014-12-12 12:17:16,-2.48053373051032,extrap
2014-12-12 12:17:16,-1.23938142893769,extrap
2014-12-12 12:17:16,0.133716272805508,extrap
2014-12-12 12:17:16,1.31198385901242,extrap
2014-12-12 12:17:16,2.10287330610902,extrap
2014-12-12 12:17:16,2.60474529135497,extrap
2014-12-12 12:17:16,3.73231534246825,extrap
2014-12-12 12:17:16,4.86885048677466,extrap
2014-12-12 12:17:16,4.97356012716572,extrap
2014-12-12 12:17:16,3.94337003909479,extrap
2014-12-12 12:17:16,2.61289320982809,extrap
2014-12-12 12:17:16,1.54093827454738,extrap
2014-12-12 12:17:16,0.293513355221036,extrap
2014-12-12 12:17:16,-0.863221004944124,extrap
2014-12-12 12:17:16,-1.74844062340069,extrap
2014-12-12 12:17:16,-2.40376036376257,extrap
2014-12-12 12:17:16,-2.90659149333364,extrap
2014-12-12 12:17:16,-3.75439390506765,extrap
2014-12-12 12:17:16,-4.27651815015758,extrap
2014-12-12 12:17:16,-3.74850209792977,extrap
2014-12-12 12:17:16,-2.60327654692692,extrap
2014-12-12 12:17:16,-1.36766312930113,extrap
2014-12-12 12:17:16,0.0391085196533352,extrap
2014-12-12 12:17:16,1.27215316081961,extrap
2014-12-12 12:17:16,2.09155223083454,extrap
2014-12-12 12:17:16,2.58816715273647,extrap
2014-12-12 12:17:16,3.74400168885561,extrap
2014-12-12 12:17:16,4.92935415259282,extrap
2014-12-12 12:17:16,5.06580442407396,extrap
2014-12-12 12:17:16,4.04303038231289,extrap
2014-12-12 12:17:16,2.718838011693,extrap
2014-12-12 12:17:16,1.65913312075661,extrap
2014-12-12 12:17:16,0.386561847324027,extrap
2014-12-12 12:17:16,-0.814846905718139,extrap
2014-12-12 12:17:16,-1.72616816434112,extrap
2014-12-12 12:17:16,-2.37761729918212,extrap
2014-12-12 12:17:16,-2.8589969549433,extrap
2014-12-12 12:17:16,-3.68278983096827,extrap
2014-12-12 12:17:16,-4.21838409325232,extrap
2014-12-12 12:17:16,-3.77315855923572,extrap
2014-12-12 12:17:16,-2.75169448960359,extrap
2014-12-12 12:17:16,-1.63803071211514,extrap
2014-12-12 12:17:16,-0.304104360396469,extrap
2014-12-12 12:17:16,0.941148381583712,extrap
2014-12-12 12:17:16,1.84906059764374,extrap
2014-12-12 12:17:16,2.45157713479133,extrap
2014-12-12 12:17:16,2.86221974385872,extrap
2014-12-12 12:17:16,3.90373074226748,extrap
2014-12-12 12:17:16,4.62945771194013,extrap
2014-12-12 12:17:16,4.01712269907455,extrap
2014-12-12 12:17:16,2.84036237027012,extrap
2014-12-12 12:17:16,1.91826956956863,extrap
2014-12-12 12:17:16,0.756401319499451,extrap
2014-12-12 12:17:16,-0.41451491877141,extrap
2014-12-12 12:17:16,-1.3951726094102,extrap
2014-12-12 12:17:16,-2.16454257483956,extrap
2014-12-12 12:17:16,-2.76439382757164,extrap
2014-12-12 12:17:16,-3.69571119933266,extrap
2014-12-12 12:17:16,-4.30340733237634,extrap
2014-12-12 12:17:16,-3.87759520231715,extrap
2014-12-12 12:17:16,-2.85726263125349,extrap
2014-12-12 12:17:16,-1.75240648080281,extrap
2014-12-12 12:17:16,-0.394384976200911,extrap
2014-12-12 12:17:16,0.895078481401105,extrap
2014-12-12 12:17:16,1.8358278451191,extrap
2014-12-12 12:17:16,2.43671945351853,extrap
2014-12-12 12:17:16,2.82936103019615,extrap
2014-12-12 12:17:16,3.70269577842892,extrap
2014-12-12 12:17:16,4.53107046516351,extrap
2014-12-12 12:17:16,4.458084986949,extrap
2014-12-12 12:17:16,3.3991090530937,extrap
2014-12-12 12:17:16,2.04125818545951,extrap
2014-12-12 12:17:16,0.876528432501099,extrap
2014-12-12 12:17:16,-0.321808717874411,extrap
2014-12-12 12:17:16,-1.33223975149413,extrap
2014-12-12 12:17:17,-2.1118662851456,extrap
2014-12-12 12:17:17,-2.708764195134,extrap
2014-12-12 12:17:17,-3.61889194936435,extrap
2014-12-12 12:17:17,-4.39181640506979,extrap
2014-12-12 12:17:17,-4.31892389165067,extrap
2014-12-12 12:17:17,-3.32622427897329,extrap
2014-12-12 12:17:17,-1.97433124208712,extrap
2014-12-12 12:17:17,-0.690117368237699,extrap
2014-12-12 12:17:17,0.592848146124488,extrap
2014-12-12 12:17:17,1.6035147190865,extrap
2014-12-12 12:17:17,2.29695044326602,extrap
2014-12-12 12:17:17,2.76572683527591,extrap
2014-12-12 12:17:17,3.7209268449842,extrap
2014-12-12 12:17:17,4.6234486908592,extrap
2014-12-12 12:17:17,4.59129223423568,extrap
2014-12-12 12:17:17,3.56231032113134,extrap
2014-12-12 12:17:17,2.29415650632915,extrap
2014-12-12 12:17:17,1.29888832046598,extrap
2014-12-12 12:17:17,0.192783976399689,extrap
2014-12-12 12:17:17,-0.862672730967504,extrap
2014-12-12 12:17:17,-1.78564386486432,extrap
2014-12-12 12:17:17,-2.55191340955839,extrap
2014-12-12 12:17:17,-3.61198778296429,extrap
2014-12-12 12:17:17,-4.49154795424366,extrap
2014-12-12 12:17:17,-4.46301416433734,extrap
2014-12-12 12:17:17,-3.46556026344476,extrap
2014-12-12 12:17:17,-2.10513444612016,extrap
2014-12-12 12:17:17,-0.832934680499509,extrap
2014-12-12 12:17:17,0.464633446178615,extrap
2014-12-12 12:17:17,1.51019512993516,extrap
2014-12-12 12:17:17,2.22731948905035,extrap
2014-12-12 12:17:17,2.71213018544279,extrap
2014-12-12 12:17:17,3.72053072593179,extrap
2014-12-12 12:17:17,4.68963597395488,extrap
2014-12-12 12:17:17,4.69427274126242,extrap
2014-12-12 12:17:17,3.6579559658262,extrap
2014-12-12 12:17:17,2.35291510484239,extrap
2014-12-12 12:17:17,1.30455862032158,extrap
2014-12-12 12:17:17,0.141302215918409,extrap
2014-12-12 12:17:17,-0.936708874807407,extrap
2014-12-12 12:17:17,-1.82880050092384,extrap
2014-12-12 12:17:17,-2.53558528101404,extrap
2014-12-12 12:17:17,-3.51748171145885,extrap
2014-12-12 12:17:17,-4.35183471931441,extrap
2014-12-12 12:17:17,-4.37329132539208,extrap
2014-12-12 12:17:17,-3.52874036373892,extrap
2014-12-12 12:17:17,-2.37729344237344,extrap
2014-12-12 12:17:17,-1.31413933248736,extrap
2014-12-12 12:17:17,-0.140356338654358,extrap
2014-12-12 12:17:17,0.94226440869506,extrap
2014-12-12 12:17:17,1.82631478006848,extrap
2014-12-12 12:17:17,2.51832907023495,extrap
2014-12-12 12:17:17,3.69271196187237,extrap
2014-12-12 12:17:17,4.76565679921627,extrap
2014-12-12 12:17:17,4.80734931022418,extrap
2014-12-12 12:17:17,3.76489310435626,extrap
2014-12-12 12:17:17,2.46228240251479,extrap
2014-12-12 12:17:17,1.45332345587057,extrap
2014-12-12 12:17:17,0.31210362340183,extrap
2014-12-12 12:17:17,-0.774939073900629,extrap
2014-12-12 12:17:17,-1.69439015779744,extrap
2014-12-12 12:17:17,-2.43751252737133,extrap
2014-12-12 12:17:17,-3.47318907271433,extrap
2014-12-12 12:17:17,-4.36714629561004,extrap
2014-12-12 12:17:17,-4.43628631662656,extrap
2014-12-12 12:17:17,-3.61865290794814,extrap
2014-12-12 12:17:17,-2.47338562580485,extrap
2014-12-12 12:17:17,-1.39584881548264,extrap
2014-12-12 12:17:17,-0.190513959965136,extrap
2014-12-12 12:17:17,0.9179916756432,extrap
2014-12-12 12:17:17,1.79678186912208,extrap
2014-12-12 12:17:17,2.46952102491857,extrap
2014-12-12 12:17:17,3.67553281695597,extrap
2014-12-12 12:17:17,4.80999950606606,extrap
2014-12-12 12:17:17,4.89753761114494,extrap
2014-12-12 12:17:17,3.86485357496461,extrap
2014-12-12 12:17:17,2.54077181789663,extrap
2014-12-12 12:17:17,1.48435838718111,extrap
2014-12-12 12:17:17,0.281029353876261,extrap
2014-12-12 12:17:17,-0.839019525772397,extrap
2014-12-12 12:17:17,-1.72960565729992,extrap
2014-12-12 12:17:17,-2.41587342500845,extrap
2014-12-12 12:17:17,-3.45072246313108,extrap
2014-12-12 12:17:17,-4.38906794751155,extrap
2014-12-12 12:17:17,-4.50945502794584,extrap
2014-12-12 12:17:17,-3.71807902983306,extrap
2014-12-12 12:17:17,-2.54880497321022,extrap
2014-12-12 12:17:17,-1.38447338045499,extrap
2014-12-12 12:17:17,-0.0702759022340689,extrap
2014-12-12 12:17:17,1.1031195464808,extrap
2014-12-12 12:17:17,1.94731095611252,extrap
2014-12-12 12:17:17,2.52429760780795,extrap
2014-12-12 12:17:17,3.68943702599357,extrap
2014-12-12 12:17:17,4.83550341781426,extrap
2014-12-12 12:17:17,4.95017656921195,extrap
2014-12-12 12:17:17,3.94773288458945,extrap
2014-12-12 12:17:17,2.66901657185938,extrap
2014-12-12 12:17:17,1.67048400443366,extrap
2014-12-12 12:17:17,0.484088553725194,extrap
2014-12-12 12:17:17,-0.659996206166078,extrap
2014-12-12 12:17:18,-1.59163685841356,extrap
2014-12-12 12:17:18,-2.3181245424924,extrap
2014-12-12 12:17:18,-2.87936610348486,extrap
2014-12-12 12:17:18,-3.74163444595222,extrap
2014-12-12 12:17:18,-4.26203977740242,extrap
2014-12-12 12:17:18,-3.75458169532288,extrap
2014-12-12 12:17:18,-2.67147245432998,extrap
2014-12-12 12:17:18,-1.54025011224069,extrap
2014-12-12 12:17:18,-0.222307148017864,extrap
2014-12-12 12:17:18,0.989156233518432,extrap
2014-12-12 12:17:18,1.87402811266302,extrap
2014-12-12 12:17:18,2.47413777907329,extrap
2014-12-12 12:17:18,2.8899730856552,extrap
2014-12-12 12:17:18,3.89846645885117,extrap
2014-12-12 12:17:18,4.58195088360551,extrap
2014-12-12 12:17:18,3.95658189275009,extrap
2014-12-12 12:17:18,2.78391467806287,extrap
2014-12-12 12:17:18,1.86950712904481,extrap
2014-12-12 12:17:18,0.736799369733669,extrap
2014-12-12 12:17:18,-0.404413898801959,extrap
2014-12-12 12:17:18,-1.37985959501213,extrap
2014-12-12 12:17:18,-2.17004713633926,extrap
2014-12-12 12:17:18,-2.7976341409902,extrap
2014-12-12 12:17:18,-3.74532386171554,extrap
2014-12-12 12:17:18,-4.34012034846259,extrap
2014-12-12 12:17:18,-3.86233189501824,extrap
2014-12-12 12:17:18,-2.77454660948577,extrap
2014-12-12 12:17:18,-1.61617317910242,extrap
2014-12-12 12:17:18,-0.2357053164937,extrap
2014-12-12 12:17:18,1.03955394350676,extrap
2014-12-12 12:17:18,1.94004556562624,extrap
2014-12-12 12:17:18,2.5026368687928,extrap
2014-12-12 12:17:18,2.86544912337059,extrap
2014-12-12 12:17:18,3.88212441436063,extrap
2014-12-12 12:17:18,4.60940029521333,extrap
2014-12-12 12:17:18,4.01936504230243,extrap
2014-12-12 12:17:18,2.87416255362466,extrap
2014-12-12 12:17:18,1.97961674711632,extrap
2014-12-12 12:17:18,0.829316691031266,extrap
2014-12-12 12:17:18,-0.348406020810768,extrap
2014-12-12 12:17:18,-1.35080337290897,extrap
2014-12-12 12:17:18,-2.14115600548071,extrap
2014-12-12 12:17:18,-2.74894230405307,extrap
2014-12-12 12:17:18,-3.63924670824614,extrap
2014-12-12 12:17:18,-4.21178415268309,extrap
2014-12-12 12:17:18,-3.82145555117047,extrap
2014-12-12 12:17:18,-2.90744222792659,extrap
2014-12-12 12:17:18,-1.95798982801,extrap
2014-12-12 12:17:18,-0.754716589626089,extrap
2014-12-12 12:17:18,0.455774724774249,extrap
2014-12-12 12:17:18,1.45051157846463,extrap
2014-12-12 12:17:18,2.19536253515938,extrap
2014-12-12 12:17:18,2.74672932516009,extrap
2014-12-12 12:17:18,3.74639797401169,extrap
2014-12-12 12:17:18,4.64658144701216,extrap
2014-12-12 12:17:18,4.57497108898375,extrap
2014-12-12 12:17:18,3.46925056354027,extrap
2014-12-12 12:17:18,2.07712104270516,extrap
2014-12-12 12:17:18,0.925399163112179,extrap
2014-12-12 12:17:18,-0.269007513199331,extrap
2014-12-12 12:17:18,-1.29294104203931,extrap
2014-12-12 12:17:18,-2.09041411559858,extrap
2014-12-12 12:17:18,-2.69553546992986,extrap
2014-12-12 12:17:18,-3.57761562206683,extrap
2014-12-12 12:17:18,-4.32163186817939,extrap
2014-12-12 12:17:18,-4.27046456074723,extrap
2014-12-12 12:17:18,-3.36827111638379,extrap
2014-12-12 12:17:18,-2.16061393773474,extrap
2014-12-12 12:17:18,-1.04300674104848,extrap
2014-12-12 12:17:18,0.137773176917789,extrap
2014-12-12 12:17:18,1.1771054389719,extrap
2014-12-12 12:17:18,2.00556792890275,extrap
2014-12-12 12:17:18,2.64603479202927,extrap
2014-12-12 12:17:18,3.74381256792351,extrap
2014-12-12 12:17:18,4.72909327521226,extrap
2014-12-12 12:17:18,4.6989406019458,extrap
2014-12-12 12:17:18,3.59563184062884,extrap
2014-12-12 12:17:18,2.20663160408771,extrap
2014-12-12 12:17:18,1.07891798180293,extrap
2014-12-12 12:17:18,-0.117441138996898,extrap
2014-12-12 12:17:18,-1.16597861891343,extrap
2014-12-12 12:17:18,-1.9885972740688,extrap
2014-12-12 12:17:18,-2.61939292823349,extrap
2014-12-12 12:17:18,-3.55319386260425,extrap
2014-12-12 12:17:18,-4.35938344230862,extrap
2014-12-12 12:17:18,-4.35344872981238,extrap
2014-12-12 12:17:18,-3.4663608062158,extrap
2014-12-12 12:17:18,-2.24455563116453,extrap
2014-12-12 12:17:18,-1.08660992760513,extrap
2014-12-12 12:17:18,0.14675542829179,extrap
2014-12-12 12:17:18,1.21720640370675,extrap
2014-12-12 12:17:18,2.02990320395596,extrap
2014-12-12 12:17:18,2.62791992955218,extrap
2014-12-12 12:17:18,3.712034310133,extrap
2014-12-12 12:17:18,4.71719130410896,extrap
2014-12-12 12:17:18,4.73048411231333,extrap
2014-12-12 12:17:18,3.6975457838025,extrap
2014-12-12 12:17:18,2.4225759152336,extrap
2014-12-12 12:17:18,1.44398710674663,extrap
2014-12-12 12:17:18,0.335457762851338,extrap
2014-12-12 12:17:19,-0.734776928804807,extrap
2014-12-12 12:17:19,-1.66797850217925,extrap
2014-12-12 12:17:19,-2.44463149074007,extrap
2014-12-12 12:17:19,-3.53797439353368,extrap
2014-12-12 12:17:19,-4.47408187716485,extrap
