,DOMINANT HIP,,,,NON DOMINANT WRIST,,,
,Amplitude,Amplitude std,Dominant Freq,Dominant Freq sd,Amplitude,Amplitude std,Dominant Freq,Dominant Freq sd
biking at 300 KPM/Min,0.84,0.54,0.46,0.67,0.77,0.81,0.21,0.26
biking outdoor,1.47,0.76,0.59,1.24,1.43,0.97,0.56,1.29
frisbee,2.76,1.62,0.84,1.06,2.15,1.38,0.63,0.73
laundry,1.37,0.76,0.31,0.4,1.65,0.67,0.35,0.41
lying,0.62,0.46,0.21,0.41,0.68,0.62,0.2,0.37
running at 5.5mph 5% grade,3.44,1.61,1.82,1.16,3.04,1.67,2.01,0.96
shelf reload,1.53,0.72,0.35,0.55,1.55,0.83,0.26,0.24
shelf unload,1.42,0.63,0.36,0.61,1.41,0.73,0.26,0.23
sitting,0.59,0.41,0.26,0.7,0.63,0.59,0.26,0.71
standing,0.61,0.47,0.21,0.39,0.65,0.65,0.21,0.38
sweeping,1.22,0.6,0.39,0.53,1.19,0.52,0.37,0.38
walking at 1mph arms on desk,1.03,0.74,0.34,0.53,0.74,0.64,0.2,0.23
walking at 2mph arms on desk,1.26,0.86,0.67,1.11,0.83,0.66,0.23,0.33
walking at 3.5mph,2.03,1.29,1.17,1.32,1.19,0.78,0.79,0.94
walking at 3mph,1.8,1.19,1.05,1.29,1.2,0.88,0.67,0.84
walking donwstairs,1.9,1.04,0.95,1.07,1.5,0.97,0.61,0.8
walking outdoor,1.91,1.29,1.09,1.23,1.34,1.08,0.73,0.84
walking upstairs,2.07,1.31,0.85,0.94,1.41,1.03,0.56,0.62