resample,low_bandwidth,high_bandwidth,use_extrapolate,use_interpolate,name,DEVICE,GRANGE,SR,RPM,N,mean,sd,se,cv,SERIES
50,0.2,5,TRUE,TRUE,Proposed,ActivPal3,2,20,2,18,43.0862817794904,0.427459404876766,0.100753147956776,0.0099210093612729,ActivPal3: 20Hz, 2g
50,0.2,5,TRUE,TRUE,Proposed,ActivPal3,2,20,3,18,94.9280054786945,0.995784517186797,0.234708661567785,0.0104898919150923,ActivPal3: 20Hz, 2g
50,0.2,5,TRUE,TRUE,Proposed,ActivPal3,2,20,4,18,138.06009838469,1.83960815516396,0.43359980041417,0.0133246910344659,ActivPal3: 20Hz, 2g
50,0.2,5,TRUE,TRUE,Proposed,ActivPal3,2,20,5,18,116.307273617649,6.1567512095669,1.45116017678774,0.0529352207997474,ActivPal3: 20Hz, 2g
50,0.2,5,TRUE,TRUE,Proposed,ActivPal3,2,20,6,18,84.0505312401067,1.0863837505556,0.256063105662914,0.0129253644745223,ActivPal3: 20Hz, 2g
50,0.2,5,TRUE,TRUE,Proposed,ActivPal3,2,20,7,18,78.7011013677261,3.29011046738248,0.775486474112998,0.0418051388126024,ActivPal3: 20Hz, 2g
50,0.2,5,TRUE,TRUE,Proposed,ActivPal3,2,20,8,18,72.7955850276087,2.33321273384231,0.549943515350233,0.0320515692395,ActivPal3: 20Hz, 2g
50,0.2,5,TRUE,TRUE,Proposed,CLE2B41120128,6,40,2,18,41.3234712163285,0.354221384107839,0.0834907809146459,0.00857191745227522,CLE2B41120128: 40Hz, 6g
50,0.2,5,TRUE,TRUE,Proposed,CLE2B41120128,6,40,3,18,91.7208149326561,0.748774899406993,0.176487936317653,0.00816363112295462,CLE2B41120128: 40Hz, 6g
50,0.2,5,TRUE,TRUE,Proposed,CLE2B41120128,6,40,4,18,151.452888458978,1.27438612982149,0.300375691415618,0.00841440624070145,CLE2B41120128: 40Hz, 6g
50,0.2,5,TRUE,TRUE,Proposed,CLE2B41120128,6,40,5,18,175.150728267203,1.27781058620568,0.301182843525997,0.00729549113981586,CLE2B41120128: 40Hz, 6g
50,0.2,5,TRUE,TRUE,Proposed,CLE2B41120128,6,40,6,18,145.848579753019,0.707497409355393,0.166758738609038,0.004850903660176,CLE2B41120128: 40Hz, 6g
50,0.2,5,TRUE,TRUE,Proposed,CLE2B41120128,6,40,7,18,95.7721348805629,1.98660605593751,0.468247537899891,0.0207430486791904,CLE2B41120128: 40Hz, 6g
50,0.2,5,TRUE,TRUE,Proposed,CLE2B41120128,6,40,8,18,90.2069786663635,2.61311586892584,0.615917316981213,0.0289680012296013,CLE2B41120128: 40Hz, 6g
50,0.2,5,TRUE,TRUE,Proposed,CLE2B41120128,6,80,1,30,11.0136637503633,0.0933736227995384,0.0170476131610953,0.00847798016318216,CLE2B41120128: 80Hz, 6g
50,0.2,5,TRUE,TRUE,Proposed,CLE2B41120128,6,80,2,30,43.1631039220777,0.261886647208233,0.0478137413951154,0.00606737290443746,CLE2B41120128: 80Hz, 6g
50,0.2,5,TRUE,TRUE,Proposed,CLE2B41120128,6,80,3,24,95.6222924114791,0.626337645679844,0.127850636550979,0.00655012162838144,CLE2B41120128: 80Hz, 6g
50,0.2,5,TRUE,TRUE,Proposed,CLE2B41120128,6,80,4,24,158.874934527769,1.16139865779358,0.237069508295627,0.00731014405290334,CLE2B41120128: 80Hz, 6g
50,0.2,5,TRUE,TRUE,Proposed,CLE2B41120128,6,80,5,24,184.317218094031,1.24211582267464,0.253545830582518,0.00673901133881569,CLE2B41120128: 80Hz, 6g
50,0.2,5,TRUE,TRUE,Proposed,CLE2B41120128,6,80,6,24,154.962413590954,0.788727414011629,0.160998309206115,0.00508979820160513,CLE2B41120128: 80Hz, 6g
50,0.2,5,TRUE,TRUE,Proposed,CLE2B41120128,6,80,7,18,104.231474189513,0.680671818395362,0.160435886183313,0.00653038656210281,CLE2B41120128: 80Hz, 6g
50,0.2,5,TRUE,TRUE,Proposed,CLE2B41120128,6,80,8,24,80.6355642994174,1.56947444101181,0.320367628734899,0.0194637993129682,CLE2B41120128: 80Hz, 6g
50,0.2,5,TRUE,TRUE,Proposed,LG Watch R Urbane,2,100,1,18,10.4694657560732,0.0977236459860199,0.0230336842529961,0.00933415785130502,LG Watch R Urbane: 100Hz, 2g
50,0.2,5,TRUE,TRUE,Proposed,LG Watch R Urbane,2,100,2,18,41.3608085576721,0.323861310699054,0.0763348429864214,0.00783014940937319,LG Watch R Urbane: 100Hz, 2g
50,0.2,5,TRUE,TRUE,Proposed,LG Watch R Urbane,2,100,3,18,92.8415594084958,0.745571656180044,0.175732924648465,0.00803058092658252,LG Watch R Urbane: 100Hz, 2g
50,0.2,5,TRUE,TRUE,Proposed,LG Watch R Urbane,2,100,4,18,167.204691621314,3.32691107785752,0.784160461185899,0.0198972352127075,LG Watch R Urbane: 100Hz, 2g
50,0.2,5,TRUE,TRUE,Proposed,LG Watch R Urbane,2,100,5,18,203.762347840715,5.26265097866127,1.24041873134314,0.0258273966433445,LG Watch R Urbane: 100Hz, 2g
50,0.2,5,TRUE,TRUE,Proposed,LG Watch R Urbane,2,100,6,18,144.722049976013,4.27372206578191,1.00732595120699,0.0295305523000142,LG Watch R Urbane: 100Hz, 2g
50,0.2,5,TRUE,TRUE,Proposed,LG Watch R Urbane,2,100,7,18,86.2877068958508,5.82478707631403,1.3729154802098,0.0675042516003414,LG Watch R Urbane: 100Hz, 2g
50,0.2,5,TRUE,TRUE,Proposed,LG Watch R Urbane,2,100,8,18,72.0752982120507,8.76485912604643,2.06589710805741,0.121606976918217,LG Watch R Urbane: 100Hz, 2g
50,0.2,5,TRUE,TRUE,Proposed,MAT2C47090050,3,30,1,30,10.9225799773562,0.097771013810142,0.0178504632446546,0.00895127470000977,MAT2C47090050: 30Hz, 3g
50,0.2,5,TRUE,TRUE,Proposed,MAT2C47090050,3,30,2,30,43.3192152364232,0.31367050673472,0.0572681373875607,0.00724090925984694,MAT2C47090050: 30Hz, 3g
50,0.2,5,TRUE,TRUE,Proposed,MAT2C47090050,3,30,3,24,97.6275684878812,0.705481184103127,0.144005743682262,0.00722624966523365,MAT2C47090050: 30Hz, 3g
50,0.2,5,TRUE,TRUE,Proposed,MAT2C47090050,3,30,4,24,169.196345706503,1.36142265719087,0.277899236198471,0.00804640698063575,MAT2C47090050: 30Hz, 3g
50,0.2,5,TRUE,TRUE,Proposed,MAT2C47090050,3,30,5,24,180.505682230192,3.52963411130021,0.720483545950624,0.0195541440451664,MAT2C47090050: 30Hz, 3g
50,0.2,5,TRUE,TRUE,Proposed,MAT2C47090050,3,30,6,24,108.663804418841,2.33213342035153,0.476044740996078,0.02146191579454,MAT2C47090050: 30Hz, 3g
50,0.2,5,TRUE,TRUE,Proposed,MAT2C47090050,3,30,7,18,57.7269435864624,0.931495071487173,0.219555493896809,0.016136227099777,MAT2C47090050: 30Hz, 3g
50,0.2,5,TRUE,TRUE,Proposed,MAT2C47090050,3,30,8,24,40.5630910502882,2.85748046451429,0.583280757335921,0.0704453331964203,MAT2C47090050: 30Hz, 3g
50,0.2,5,TRUE,TRUE,Proposed,Nexus 4,4,50,1,18,10.4871627653741,0.129829306039519,0.0306010608990959,0.0123798313179788,Nexus 4: 50Hz, 4g
50,0.2,5,TRUE,TRUE,Proposed,Nexus 4,4,50,2,18,41.4746910575766,0.346074501237672,0.0815705422069701,0.00834423337252204,Nexus 4: 50Hz, 4g
50,0.2,5,TRUE,TRUE,Proposed,Nexus 4,4,50,3,18,93.0418871530507,0.715229202126657,0.168581139642134,0.00768717428259091,Nexus 4: 50Hz, 4g
50,0.2,5,TRUE,TRUE,Proposed,Nexus 4,4,50,4,18,156.357473216132,1.41435065620888,0.333365646660314,0.0090456223621229,Nexus 4: 50Hz, 4g
50,0.2,5,TRUE,TRUE,Proposed,Nexus 4,4,50,5,18,188.947306656527,2.19047603339109,0.516300152412484,0.0115930524343117,Nexus 4: 50Hz, 4g
50,0.2,5,TRUE,TRUE,Proposed,Nexus 4,4,50,6,18,142.755798701918,1.36890173767175,0.322653233828581,0.0095891147688515,Nexus 4: 50Hz, 4g
50,0.2,5,TRUE,TRUE,Proposed,Nexus 4,4,50,7,18,95.1940772170681,1.86653382324755,0.439946241244131,0.0196076675967072,Nexus 4: 50Hz, 4g
50,0.2,5,TRUE,TRUE,Proposed,Nexus 4,4,50,8,18,92.0654317331436,10.624783505012,2.50428548834433,0.115404699733647,Nexus 4: 50Hz, 4g
50,0.2,5,TRUE,TRUE,Proposed,TAS1C32140067,16,100,1,30,10.995594941327,0.0965220536846645,0.0176224353666051,0.00877824748908178,TAS1C32140067: 100Hz, 16g
50,0.2,5,TRUE,TRUE,Proposed,TAS1C32140067,16,100,2,30,43.3803812115396,0.251683986098788,0.0459509988497076,0.0058017928628031,TAS1C32140067: 100Hz, 16g
50,0.2,5,TRUE,TRUE,Proposed,TAS1C32140067,16,100,3,24,97.3128169255999,0.620811736159079,0.126722664993423,0.00637954748174352,TAS1C32140067: 100Hz, 16g
50,0.2,5,TRUE,TRUE,Proposed,TAS1C32140067,16,100,4,24,164.100217296328,1.16370182101006,0.237539639518522,0.00709140938496555,TAS1C32140067: 100Hz, 16g
50,0.2,5,TRUE,TRUE,Proposed,TAS1C32140067,16,100,5,24,193.683642481778,1.26495485042119,0.258207827599212,0.00653103604523652,TAS1C32140067: 100Hz, 16g
50,0.2,5,TRUE,TRUE,Proposed,TAS1C32140067,16,100,6,24,158.891704677452,0.771401631628846,0.157461698686755,0.00485488926684235,TAS1C32140067: 100Hz, 16g
50,0.2,5,TRUE,TRUE,Proposed,TAS1C32140067,16,100,7,18,115.284577608948,0.38008877248398,0.089587782825431,0.00329696114057219,TAS1C32140067: 100Hz, 16g
50,0.2,5,TRUE,TRUE,Proposed,TAS1C32140067,16,100,8,24,95.6902376736555,1.60558079392113,0.327737807159956,0.0167789403909398,TAS1C32140067: 100Hz, 16g
50,0.2,5,TRUE,TRUE,Proposed,TAS1E23150139,8,60,2,18,41.3868878257216,0.321912883093202,0.0758755941955052,0.00777813698987862,TAS1E23150139: 60Hz, 8g
50,0.2,5,TRUE,TRUE,Proposed,TAS1E23150139,8,60,3,18,92.1401712274161,0.743563556956459,0.175259611122367,0.00806991724729087,TAS1E23150139: 60Hz, 8g
50,0.2,5,TRUE,TRUE,Proposed,TAS1E23150139,8,60,4,18,152.851757717228,1.2666927591193,0.298562346551052,0.00828706701209582,TAS1E23150139: 60Hz, 8g
50,0.2,5,TRUE,TRUE,Proposed,TAS1E23150139,8,60,5,18,177.670543873447,1.29370527806357,0.304929258325193,0.00728148431281362,TAS1E23150139: 60Hz, 8g
50,0.2,5,TRUE,TRUE,Proposed,TAS1E23150139,8,60,6,18,143.396357145656,0.673109033735016,0.158653320743985,0.00469404556108286,TAS1E23150139: 60Hz, 8g
50,0.2,5,TRUE,TRUE,Proposed,TAS1E23150139,8,60,7,18,97.9630515273399,1.74422296148617,0.411117294656051,0.017804906383499,TAS1E23150139: 60Hz, 8g
50,0.2,5,TRUE,TRUE,Proposed,TAS1E23150139,8,60,8,18,92.9297333379527,2.75597826945211,0.649590307710785,0.0296565821342625,TAS1E23150139: 60Hz, 8g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,ActivPal3,2,20,2,18,43.0862817803436,0.427459401115167,0.100753147070158,0.00992100927377258,ActivPal3: 20Hz, 2g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,ActivPal3,2,20,3,18,94.7803538291579,0.96238220042043,0.226835660003506,0.0101538152321644,ActivPal3: 20Hz, 2g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,ActivPal3,2,20,4,18,117.271428864033,1.30581018497491,0.307782412246072,0.0111349388135186,ActivPal3: 20Hz, 2g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,ActivPal3,2,20,5,18,93.882371959264,3.15864265530934,0.744499213638107,0.0336446831219805,ActivPal3: 20Hz, 2g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,ActivPal3,2,20,6,18,65.3001408133814,0.749508910594208,0.176660944413635,0.0114779064984898,ActivPal3: 20Hz, 2g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,ActivPal3,2,20,7,18,63.3832692526948,2.80742559572499,0.661716558804609,0.0442928493406111,ActivPal3: 20Hz, 2g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,ActivPal3,2,20,8,18,59.9863028700427,1.91791474707242,0.452056841130863,0.0319725446528599,ActivPal3: 20Hz, 2g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,40,2,18,41.323471215958,0.354221383879992,0.0834907808609418,0.00857191744683833,CLE2B41120128: 40Hz, 6g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,40,3,18,91.7208149288511,0.748774898081062,0.176487936005128,0.00816363110883713,CLE2B41120128: 40Hz, 6g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,40,4,18,151.452888457572,1.27438613947375,0.300375693690677,0.00841440630451069,CLE2B41120128: 40Hz, 6g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,40,5,18,175.150728266847,1.27781058503503,0.301182843250074,0.00729549113314706,CLE2B41120128: 40Hz, 6g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,40,6,18,138.098161514385,0.634332494318748,0.149513602753255,0.00459334496102377,CLE2B41120128: 40Hz, 6g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,40,7,18,81.6659832073785,1.92643037995733,0.454063995050535,0.023589140842956,CLE2B41120128: 40Hz, 6g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,40,8,18,76.2789894497585,2.60166739128341,0.613218884922805,0.0341072608597812,CLE2B41120128: 40Hz, 6g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,80,1,30,11.0136637501169,0.0933736223161586,0.0170476130728426,0.00847798011948269,CLE2B41120128: 80Hz, 6g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,80,2,30,43.1631039222398,0.261886649921477,0.0478137418904837,0.00606737296727493,CLE2B41120128: 80Hz, 6g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,80,3,24,95.6222924108152,0.626337645406984,0.127850636495281,0.0065501216255734,CLE2B41120128: 80Hz, 6g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,80,4,24,158.874934518713,1.16139865824662,0.237069508388104,0.00731014405617162,CLE2B41120128: 80Hz, 6g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,80,5,24,184.317218094933,1.24211582424952,0.253545830903989,0.0067390113473271,CLE2B41120128: 80Hz, 6g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,80,6,24,142.566490853259,0.776942244583587,0.158592671570203,0.00544968344197572,CLE2B41120128: 80Hz, 6g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,80,7,18,81.2160042441813,0.416317016418383,0.0981268618109299,0.00512604652608491,CLE2B41120128: 80Hz, 6g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,80,8,24,58.0172567857439,1.47800133454002,0.301695759064635,0.0254752019730653,CLE2B41120128: 80Hz, 6g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,LG Watch R Urbane,2,100,1,18,10.469465756063,0.0977236477730049,0.0230336846741925,0.00933415802199953,LG Watch R Urbane: 100Hz, 2g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,LG Watch R Urbane,2,100,2,18,41.3608085570141,0.323861308038138,0.0763348423592376,0.00783014934516353,LG Watch R Urbane: 100Hz, 2g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,LG Watch R Urbane,2,100,3,18,92.9076995730304,0.747828558416636,0.176264881607121,0.00804915590261497,LG Watch R Urbane: 100Hz, 2g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,LG Watch R Urbane,2,100,4,18,120.028399537021,1.02177119878547,0.240833781160771,0.00851274533965875,LG Watch R Urbane: 100Hz, 2g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,LG Watch R Urbane,2,100,5,18,96.3978005164155,0.665719767648272,0.156911654024675,0.00690596428634186,LG Watch R Urbane: 100Hz, 2g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,LG Watch R Urbane,2,100,6,18,55.3790429276457,0.336764842237755,0.0793762345371783,0.00608108815960847,LG Watch R Urbane: 100Hz, 2g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,LG Watch R Urbane,2,100,7,18,30.1001537366602,1.87443857414243,0.44180940889792,0.0622733887189247,LG Watch R Urbane: 100Hz, 2g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,LG Watch R Urbane,2,100,8,18,27.7313062458546,3.724968532511,0.877983503015009,0.134323587193727,LG Watch R Urbane: 100Hz, 2g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,MAT2C47090050,3,30,1,30,10.9225799777211,0.0977710141850085,0.0178504633130956,0.00895127473403109,MAT2C47090050: 30Hz, 3g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,MAT2C47090050,3,30,2,30,43.3192152358264,0.313670507845616,0.0572681375903816,0.00724090928559113,MAT2C47090050: 30Hz, 3g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,MAT2C47090050,3,30,3,24,97.6275684897848,0.705481184479385,0.144005743759065,0.00722624966894677,MAT2C47090050: 30Hz, 3g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,MAT2C47090050,3,30,4,24,162.655082636263,1.22872133858208,0.250811692966301,0.00755415274252326,MAT2C47090050: 30Hz, 3g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,MAT2C47090050,3,30,5,24,143.032061218802,1.14881595648391,0.234501075146081,0.00803187723573748,MAT2C47090050: 30Hz, 3g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,MAT2C47090050,3,30,6,24,85.3644118176312,0.888381202615706,0.181340053624046,0.0104069270050569,MAT2C47090050: 30Hz, 3g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,MAT2C47090050,3,30,7,18,47.1338667314171,0.76380365787082,0.180030248658515,0.0162049861562006,MAT2C47090050: 30Hz, 3g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,MAT2C47090050,3,30,8,24,32.5280367103965,1.47484069177754,0.301050595562361,0.0453405997081329,MAT2C47090050: 30Hz, 3g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,Nexus 4,4,50,1,18,10.487162764777,0.129829305567616,0.0306010607878673,0.0123798312736855,Nexus 4: 50Hz, 4g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,Nexus 4,4,50,2,18,41.4746910557868,0.346074502255303,0.081570542446828,0.00834423339741831,Nexus 4: 50Hz, 4g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,Nexus 4,4,50,3,18,93.04188715854,0.715229200107084,0.168581139166116,0.00768717426043132,Nexus 4: 50Hz, 4g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,Nexus 4,4,50,4,18,156.357473216854,1.41435066123673,0.333365647845389,0.00904562239423724,Nexus 4: 50Hz, 4g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,Nexus 4,4,50,5,18,171.713773683176,1.17620347212171,0.277233817064141,0.00684979106155971,Nexus 4: 50Hz, 4g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,Nexus 4,4,50,6,18,106.226734670052,0.746524757733428,0.175957572838984,0.00702765419696076,Nexus 4: 50Hz, 4g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,Nexus 4,4,50,7,18,61.8531971749726,1.51442944362931,0.356954443072951,0.0244842548614784,Nexus 4: 50Hz, 4g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,Nexus 4,4,50,8,18,59.530666587989,9.70879310087652,2.28838447958899,0.163088936464813,Nexus 4: 50Hz, 4g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1C32140067,16,100,1,30,10.9955949413548,0.0965220535565157,0.0176224353432085,0.00877824747740505,TAS1C32140067: 100Hz, 16g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1C32140067,16,100,2,30,43.3803812123856,0.251683984722847,0.0459509985984963,0.00580179283097192,TAS1C32140067: 100Hz, 16g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1C32140067,16,100,3,24,97.3128169255076,0.620811737009546,0.126722665167024,0.00637954749048909,TAS1C32140067: 100Hz, 16g
